heightOfBoard,widthOfBoard,numberOfMine,seed,r0,c0,summonMode,iterateMode,sTime,msTime,solved3BV,total3BV,isHelped
16,30,99,1729433945,6,11,3,-2,9,9000,23,154,0
16,30,99,1729433956,6,6,3,-2,11,11000,26,191,0
16,30,99,1729433978,7,3,3,-2,63,63000,121,165,0
16,30,99,1729434052,6,7,3,-2,8,8000,17,150,0
16,30,99,1729434060,5,4,3,-2,27,27000,63,179,0
16,30,99,1729434088,5,6,3,-2,42,42000,87,188,0
16,30,99,1729434130,8,10,3,-2,16,16000,34,173,0
16,30,99,1729434154,7,5,3,-2,73,73000,162,162,0
16,30,99,1729434285,7,7,3,-2,92,92000,152,152,0
16,30,99,1729434379,6,9,3,-2,38,38000,103,188,0
16,30,99,1729434425,8,7,3,-2,35,35000,68,159,0
16,30,99,1729434470,6,8,3,-2,35,35000,66,169,0
16,30,99,1729434512,7,10,3,-2,85,85000,157,157,0
16,30,99,1729434607,6,5,3,-2,89,89000,177,177,0
16,30,99,1729434714,8,9,3,-2,86,86000,153,153,0
16,30,99,1729434808,6,10,3,-2,71,71000,126,131,0
16,30,99,1729434873,3,7,3,-2,29,29000,59,154,0
16,30,99,1729434907,7,9,3,-2,34,34000,73,154,0
16,30,99,1729434953,6,6,3,-2,91,91000,179,179,0
16,30,99,1729435044,6,10,3,-2,30,30000,48,182,0
16,30,99,1729435081,6,8,3,-2,83,83000,151,151,0
16,30,99,1729435186,6,5,3,-2,80,80000,154,165,0
16,30,99,1729435264,9,8,3,-2,39,39000,66,149,0
16,30,99,1729435309,6,5,3,-2,79,79000,174,186,0
16,30,99,1729435389,7,4,3,-2,89,89000,125,125,0
16,30,99,1729435484,8,9,3,-2,27,27000,58,195,0
16,30,99,1729435514,4,5,3,-2,89,89000,161,161,0
16,30,99,1729435622,7,8,3,-2,81,81000,146,153,0
16,30,99,1729435691,10,13,3,-2,31,31000,46,171,0
16,30,99,1729435738,10,7,3,-2,12,12000,20,148,0
16,30,99,1729435745,7,5,3,-2,87,87000,172,172,0
16,30,99,1729511558,3,4,3,-2,89,89000,196,196,0
16,30,99,1729511654,6,4,3,-2,89,89000,194,194,0
16,30,99,1729511745,5,4,3,-2,13,13000,27,196,0
16,30,99,1729511771,6,6,3,-2,80,80000,142,142,0
16,30,99,1729511865,5,4,3,-2,29,29000,70,163,0
16,30,99,1729511896,3,4,3,-2,26,26000,45,145,0
16,30,99,1729511929,3,4,3,-2,6,6000,5,169,0
16,30,99,1729511947,7,3,3,-2,87,87000,163,163,0
16,30,99,1729512035,7,5,3,-2,81,81000,189,189,0
16,30,99,1729512157,5,3,3,-2,92,92000,176,176,0
16,30,99,1729512242,4,3,3,-2,50,50000,87,176,0
16,30,99,1729512303,6,9,3,-2,8,8000,10,183,0
16,30,99,1729512314,6,3,3,-2,76,76000,166,166,0
16,30,99,1729514412,6,5,3,-2,2,2000,3,165,0
